Class: chair, Confidence: 0.31, BBox: (338, 262, 549, 479)
Class: book, Confidence: 0.26, BBox: (540, 236, 618, 251)
Class: person, Confidence: 0.92, BBox: (35, 173, 524, 479)
Class: chair, Confidence: 0.31, BBox: (338, 262, 549, 479)
Class: book, Confidence: 0.26, BBox: (540, 236, 618, 251)
Class: person, Confidence: 0.92, BBox: (34, 173, 535, 479)
Class: book, Confidence: 0.27, BBox: (538, 235, 617, 252)
Class: chair, Confidence: 0.26, BBox: (336, 263, 550, 479)
Class: person, Confidence: 0.92, BBox: (33, 173, 515, 479)
Class: chair, Confidence: 0.28, BBox: (338, 263, 550, 479)
Class: person, Confidence: 0.91, BBox: (35, 172, 522, 479)
Class: chair, Confidence: 0.36, BBox: (334, 263, 552, 479)
Class: person, Confidence: 0.92, BBox: (34, 173, 528, 479)
Class: chair, Confidence: 0.32, BBox: (338, 263, 551, 479)
Class: person, Confidence: 0.92, BBox: (28, 172, 532, 479)
Class: bottle, Confidence: 0.27, BBox: (21, 440, 51, 479)
Class: person, Confidence: 0.93, BBox: (25, 172, 531, 479)
Class: person, Confidence: 0.91, BBox: (22, 172, 521, 479)
Class: chair, Confidence: 0.35, BBox: (337, 263, 549, 479)
Class: book, Confidence: 0.26, BBox: (540, 235, 617, 252)
Class: person, Confidence: 0.91, BBox: (32, 173, 528, 479)
Class: chair, Confidence: 0.32, BBox: (339, 263, 552, 479)
Class: person, Confidence: 0.91, BBox: (33, 172, 525, 479)
Class: person, Confidence: 0.91, BBox: (33, 172, 525, 479)
Class: person, Confidence: 0.92, BBox: (35, 172, 526, 479)
Class: person, Confidence: 0.92, BBox: (32, 172, 530, 479)
Class: chair, Confidence: 0.33, BBox: (333, 263, 552, 479)
Class: book, Confidence: 0.25, BBox: (535, 235, 621, 250)
Class: person, Confidence: 0.92, BBox: (24, 172, 524, 479)
Class: chair, Confidence: 0.34, BBox: (334, 263, 550, 479)
Class: person, Confidence: 0.91, BBox: (29, 173, 525, 479)
Class: person, Confidence: 0.92, BBox: (28, 173, 527, 479)
Class: person, Confidence: 0.93, BBox: (33, 172, 522, 479)
Class: chair, Confidence: 0.48, BBox: (334, 262, 549, 479)
Class: person, Confidence: 0.91, BBox: (33, 172, 528, 479)
Class: chair, Confidence: 0.31, BBox: (334, 262, 556, 479)
Class: book, Confidence: 0.27, BBox: (539, 235, 618, 251)
Class: person, Confidence: 0.92, BBox: (27, 173, 529, 479)
Class: person, Confidence: 0.92, BBox: (29, 173, 522, 479)
Class: person, Confidence: 0.91, BBox: (31, 171, 531, 479)
Class: person, Confidence: 0.91, BBox: (28, 172, 502, 479)
Class: person, Confidence: 0.92, BBox: (27, 172, 529, 479)
Class: person, Confidence: 0.91, BBox: (27, 173, 526, 479)
Class: person, Confidence: 0.91, BBox: (30, 173, 538, 479)
Class: person, Confidence: 0.91, BBox: (20, 173, 525, 479)
Class: book, Confidence: 0.29, BBox: (540, 236, 617, 254)
Class: person, Confidence: 0.91, BBox: (25, 173, 532, 479)
Class: person, Confidence: 0.92, BBox: (32, 173, 525, 479)
Class: book, Confidence: 0.26, BBox: (540, 234, 618, 252)
Class: person, Confidence: 0.90, BBox: (21, 173, 531, 479)
Class: person, Confidence: 0.92, BBox: (26, 173, 523, 479)
Class: person, Confidence: 0.91, BBox: (28, 173, 524, 479)
Class: chair, Confidence: 0.27, BBox: (337, 264, 551, 479)
Class: person, Confidence: 0.92, BBox: (31, 173, 532, 479)
Class: person, Confidence: 0.91, BBox: (25, 173, 524, 479)
Class: book, Confidence: 0.25, BBox: (534, 234, 621, 251)
Class: person, Confidence: 0.91, BBox: (29, 172, 503, 479)
Class: book, Confidence: 0.28, BBox: (539, 237, 619, 253)
Class: person, Confidence: 0.92, BBox: (30, 173, 527, 479)
Class: chair, Confidence: 0.28, BBox: (336, 263, 548, 479)
Class: person, Confidence: 0.91, BBox: (31, 171, 528, 479)
Class: chair, Confidence: 0.38, BBox: (335, 263, 550, 479)
Class: person, Confidence: 0.92, BBox: (30, 173, 532, 479)
Class: chair, Confidence: 0.38, BBox: (338, 262, 548, 479)
Class: person, Confidence: 0.92, BBox: (35, 172, 527, 479)
Class: book, Confidence: 0.25, BBox: (540, 235, 616, 252)
Class: person, Confidence: 0.91, BBox: (25, 174, 529, 479)
Class: person, Confidence: 0.91, BBox: (28, 173, 521, 479)
Class: chair, Confidence: 0.33, BBox: (337, 262, 551, 479)
Class: person, Confidence: 0.92, BBox: (22, 173, 530, 479)
Class: chair, Confidence: 0.27, BBox: (335, 262, 551, 479)
Class: person, Confidence: 0.91, BBox: (30, 173, 524, 479)
Class: chair, Confidence: 0.26, BBox: (337, 263, 552, 479)
Class: book, Confidence: 0.25, BBox: (543, 235, 617, 250)
Class: person, Confidence: 0.91, BBox: (28, 173, 526, 479)
Class: person, Confidence: 0.92, BBox: (31, 173, 526, 479)
Class: chair, Confidence: 0.32, BBox: (335, 262, 552, 479)
Class: book, Confidence: 0.30, BBox: (537, 235, 617, 252)
Class: person, Confidence: 0.92, BBox: (28, 173, 521, 479)
Class: chair, Confidence: 0.28, BBox: (330, 262, 549, 479)
Class: book, Confidence: 0.27, BBox: (542, 235, 617, 251)
Class: person, Confidence: 0.91, BBox: (27, 173, 524, 479)
Class: chair, Confidence: 0.28, BBox: (338, 262, 553, 479)
Class: person, Confidence: 0.92, BBox: (33, 172, 531, 479)
